narc1,narc2,narc3,narc4,narc5,narc6,narc7,narc8,narc9,narc10,narc11,narc12,narc13,BO1,BO2,BO3,BO4,BO5,BO6,snarc1,snarc2,snarc3,snarc4,snarc5,snarc6,snarc7,snarc8,snarc9,snarc10,snarc11,snarc12,snarc13,gossip1,gossip2,gossip3,gossip4,gossip5
6.0,5.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,6.0,4.0,6.0,6.0,3.0,5.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,3.0,5.0,2.0
6.0,3.0,5.0,7.0,4.0,5.0,2.0,2.0,1.0,4.0,3.0,6.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,6.0,2.0,6.0,7.0,4.0,4.0,2.0,3.0,1.0,5.0,2.0,6.0,4.0,4.0,4.0,2.0,4.0,2.0
5.0,4.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,3.0,3.0,5.0,7.0,5.0,2.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0
3.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,6.0,7.0,2.0,6.0,2.0
6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,6.0,6.0,5.0,1.0,5.0,6.0,5.0,6.0,4.0,2.0,2.0,2.0,2.0,6.0
4.0,4.0,4.0,5.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0
6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0
6.0,3.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,5.0,7.0,7.0,6.0,6.0,5.0,4.0,3.0,6.0,6.0,7.0,5.0,1.0,1.0,1.0,5.0,1.0
2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,5.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,3.0,6.0,6.0,5.0,6.0,5.0
2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,1.0,6.0,4.0,6.0,6.0,3.0,1.0,2.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0
4.0,2.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,,,,,,,,,,,,,,4.0,4.0,4.0,5.0,4.0
3.0,2.0,3.0,7.0,6.0,4.0,4.0,1.0,1.0,6.0,7.0,7.0,4.0,5.0,4.0,3.0,5.0,2.0,5.0,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0
6.0,4.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,,,,,,,,,,,,,,5.0,4.0,3.0,3.0,3.0
5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0
4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0
1.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,6.0,5.0,1.0,2.0,4.0,2.0,4.0,2.0,2.0,6.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,1.0
5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,5.0,4.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0
4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,,,,,,,,,,,,,,7.0,7.0,5.0,6.0,5.0
4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,6.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,6.0,6.0,5.0,6.0,6.0
6.0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,6.0,5.0,6.0,6.0,5.0,1.0,6.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,,,6.0,3.0,3.0,6.0,4.0
5.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0
5.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,5.0,3.0,5.0,4.0,2.0
5.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0
6.0,6.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,6.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,4.0,5.0,2.0,6.0,5.0,4.0,4.0,4.0,2.0,6.0,5.0,6.0,5.0,6.0,2.0,5.0,3.0,5.0,6.0
5.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0
4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,6.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0
4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0
4.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,5.0,6.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,6.0,3.0,4.0,2.0,4.0,5.0,5.0
4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,6.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,3.0
2.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0,3.0,2.0,4.0,7.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0
5.0,3.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,4.0
4.0,1.0,4.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,7.0,1.0
6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,3.0,6.0,4.0,6.0,3.0,4.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,4.0
2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,6.0,5.0,4.0,2.0,5.0,2.0,5.0,6.0,6.0,4.0,2.0,3.0,2.0,3.0,2.0
4.0,1.0,4.0,2.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,6.0,2.0
6.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0,6.0,7.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,3.0,4.0,1.0,3.0
4.0,1.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,6.0,4.0,5.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,3.0,2.0,1.0,1.0,2.0
2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0
5.0,5.0,4.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,3.0,5.0,2.0,4.0,2.0,5.0,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,5.0
6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,5.0,2.0,2.0
2.0,2.0,2.0,2.0,7.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,7.0,5.0,5.0,4.0,2.0,5.0,6.0,5.0,4.0,2.0,5.0,2.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0
5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
4.0,2.0,5.0,5.0,5.0,6.0,5.0,5.0,2.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,,,,,,,,,,,,,,2.0,4.0,4.0,6.0,4.0
6.0,5.0,6.0,6.0,5.0,6.0,3.0,2.0,3.0,5.0,3.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,3.0,3.0,3.0,5.0,2.0
3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0
2.0,2.0,4.0,6.0,5.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,3.0,5.0,2.0,2.0,6.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,1.0,1.0
6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0
3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,6.0,4.0,4.0,6.0,4.0,5.0,2.0,2.0,5.0,2.0,3.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,2.0,2.0,5.0,2.0
3.0,2.0,2.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,3.0,4.0,6.0,4.0,6.0,4.0,5.0,1.0,2.0,1.0,1.0
,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,6.0,3.0,5.0,4.0,4.0,4.0,6.0,4.0,6.0,5.0,,,,,
6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,,4.0,3.0,3.0,1.0,1.0
4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0
3.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,5.0,2.0,6.0,2.0,2.0,2.0,5.0,2.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0
6.0,6.0,7.0,7.0,6.0,6.0,1.0,1.0,1.0,6.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,3.0,1.0,6.0,1.0,5.0,1.0
2.0,2.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,2.0,5.0,4.0
4.0,4.0,4.0,4.0,6.0,1.0,1.0,5.0,1.0,6.0,7.0,6.0,6.0,4.0,1.0,3.0,1.0,6.0,4.0,5.0,2.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0,5.0,6.0,3.0,4.0,1.0,1.0,1.0,4.0
5.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,5.0,4.0,3.0,5.0,2.0,5.0,2.0,4.0,1.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,5.0,4.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,4.0,3.0,3.0,2.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,4.0,3.0,4.0,4.0,3.0
4.0,2.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
5.0,5.0,5.0,5.0,6.0,6.0,2.0,3.0,1.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0,3.0
4.0,5.0,4.0,5.0,4.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,6.0,3.0,6.0,7.0,3.0,2.0,4.0,5.0,2.0,3.0
5.0,3.0,6.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,6.0,3.0,2.0,2.0,2.0,3.0,2.0
5.0,2.0,4.0,3.0,2.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,5.0
5.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0,2.0,5.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0
6.0,6.0,5.0,6.0,6.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,7.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,6.0,4.0,5.0,4.0,5.0,6.0,5.0,2.0,4.0,1.0
5.0,3.0,5.0,3.0,6.0,2.0,5.0,1.0,6.0,2.0,6.0,2.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,6.0,6.0,5.0,1.0,3.0,2.0,5.0,4.0
4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,2.0
4.0,3.0,2.0,2.0,4.0,6.0,5.0,5.0,4.0,2.0,5.0,4.0,1.0,5.0,3.0,4.0,5.0,3.0,2.0,,,,,,,,,,,,,,5.0,3.0,5.0,4.0,3.0
2.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,5.0,3.0,6.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
4.0,1.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,6.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0
